interest_area,coding_interest_level,preferred_domain,current_degree,field_of_study,current_status,known_languages,frameworks_known,job_type_preference,job_experience,recommended_job_role,
Logic,None,Backend,Masters,CS,Intern,"C, C++, R","Flask, Node, PyTorch",Internship,1+,ml engineer,
Both,Advanced,Frontend,Masters,CS,Working Professional,"C, None, SQL",Django,Onsite,None,backend developer,
Creativity,Intermediate,AI/ML,Bachelors,CS,Working Professional,"JavaScript, None, Python",None,Full-time Job,None,data analyst,
Creativity,Beginner,Data Science,Bachelors,Non-CS,Intern,"C, Java, R","Django, React, TensorFlow",Remote,None,ml engineer,
Logic,Intermediate,DevOps,Masters,CS,Working Professional,C,"None, PyTorch, Scikit-learn",Remote,3+,ml engineer,
Logic,Advanced,Full Stack,Bachelors,Non-CS,Job Seeker,"Java, JavaScript, SQL","Django, Flask, React",Internship,1+,frontend developer,
Creativity,Beginner,AI/ML,Bachelors,Non-CS,Job Seeker,JavaScript,"Node, React",Internship,None,frontend developer,
Logic,Beginner,Backend,Diploma,Non-CS,Pursuing Degree,C,Flask,Onsite,3+,backend developer,
Both,Intermediate,AI/ML,Masters,Non-CS,Working Professional,"Java, JavaScript, None, Python","Node, Scikit-learn",Onsite,None,ml engineer,
Creativity,None,AI/ML,Bachelors,CS,Trainee,JavaScript,Node,Onsite,3+,frontend developer,
Logic,Beginner,Frontend,Bachelors,Non-CS,Trainee,"C, C++, Java, None",Django,Remote,3+,backend developer,
Both,None,Frontend,Diploma,CS,Trainee,None,"React, TensorFlow",Freelance,None,ml engineer,
Logic,Intermediate,Full Stack,Bachelors,Non-CS,Intern,C,"Node, Scikit-learn",Onsite,3+,ml engineer,
Both,Intermediate,AI/ML,Diploma,Non-CS,Pursuing Degree,"C, C++, JavaScript",Django,Full-time Job,None,frontend developer,
Logic,Advanced,Cybersecurity,Masters,CS,Pursuing Degree,"Java, JavaScript","None, Scikit-learn, TensorFlow",Internship,1+,ml engineer,
Both,None,AI/ML,Diploma,Non-CS,Pursuing Degree,"Java, JavaScript, None",Flask,Onsite,None,frontend developer,
Creativity,Intermediate,Backend,Masters,Non-CS,Intern,None,"Django, React, TensorFlow",Remote,1+,ml engineer,
Creativity,None,DevOps,Diploma,Non-CS,Intern,"JavaScript, None, R, SQL",None,Onsite,None,frontend developer,
Logic,Advanced,Frontend,Bachelors,CS,Intern,C,"None, Scikit-learn",Internship,None,ml engineer,
Both,Advanced,Frontend,Diploma,CS,Pursuing Degree,"Java, JavaScript",Flask,Internship,3+,frontend developer,
Both,None,Frontend,Masters,CS,Intern,"C++, JavaScript, Python",Django,Onsite,1+,data analyst,
Creativity,Beginner,Full Stack,Masters,CS,Trainee,"C++, None, R","Node, None, React",Freelance,None,frontend developer,
Logic,Intermediate,Full Stack,Bachelors,Non-CS,Working Professional,"C, C++, JavaScript, None","Django, PyTorch, Scikit-learn",Freelance,None,ml engineer,
Both,Advanced,AI/ML,Masters,Non-CS,Pursuing Degree,"JavaScript, None, R, SQL",PyTorch,Onsite,1+,ml engineer,
Logic,None,Data Science,Bachelors,CS,Pursuing Degree,"C, Python, SQL",Django,Freelance,3+,data analyst,
Creativity,Beginner,AI/ML,Diploma,CS,Intern,"Python, R","None, React, Scikit-learn",Full-time Job,1+,ml engineer,
Both,Advanced,Frontend,Bachelors,CS,Intern,"Java, JavaScript",React,Freelance,1+,frontend developer,
Both,Intermediate,AI/ML,Diploma,Non-CS,Intern,"Java, Python, SQL",React,Remote,None,data analyst,
Logic,None,DevOps,Masters,Non-CS,Pursuing Degree,"C, Java, None, Python","Django, None, PyTorch",Onsite,3+,ml engineer,
Both,Beginner,Backend,Bachelors,CS,Intern,"C, C++, JavaScript, R","Django, Scikit-learn",Remote,None,ml engineer,
Creativity,Beginner,Data Science,Bachelors,Non-CS,Working Professional,"C, C++, JavaScript, SQL",Flask,Internship,3+,frontend developer,
Creativity,Beginner,AI/ML,Bachelors,CS,Job Seeker,"C++, Java, None",React,Onsite,None,frontend developer,
Logic,Beginner,Data Science,Diploma,Non-CS,Intern,R,TensorFlow,Internship,3+,ml engineer,
Logic,Advanced,Frontend,Bachelors,Non-CS,Working Professional,Java,"Flask, React",Onsite,3+,frontend developer,
Logic,Advanced,DevOps,Bachelors,Non-CS,Trainee,"Python, SQL","Flask, React",Onsite,3+,data analyst,
Logic,Beginner,DevOps,Bachelors,CS,Job Seeker,JavaScript,"Flask, TensorFlow",Remote,None,ml engineer,
Both,Advanced,Data Science,Masters,CS,Trainee,"JavaScript, Python, SQL","PyTorch, Scikit-learn",Remote,None,ml engineer,
Creativity,None,Frontend,Masters,CS,Job Seeker,"C++, Python","Scikit-learn, TensorFlow",Internship,None,ml engineer,
Both,Beginner,Backend,Masters,Non-CS,Job Seeker,"C++, None, Python","None, PyTorch",Full-time Job,3+,ml engineer,
Logic,None,Cybersecurity,Bachelors,CS,Job Seeker,"C++, Java","Flask, None",Onsite,3+,backend developer,
Both,Beginner,Data Science,Masters,CS,Job Seeker,"Java, None","Flask, Scikit-learn",Onsite,1+,ml engineer,
Logic,None,Full Stack,Masters,CS,Job Seeker,"C++, Java, Python, R","Node, React, Scikit-learn",Onsite,1+,ml engineer,
Creativity,Advanced,Full Stack,Diploma,Non-CS,Job Seeker,"C++, Java, SQL","Django, Flask, Scikit-learn",Remote,3+,ml engineer,
Creativity,Intermediate,Cybersecurity,Masters,Non-CS,Working Professional,"Java, None","Node, PyTorch, TensorFlow",Remote,1+,ml engineer,
Logic,Intermediate,Frontend,Bachelors,CS,Job Seeker,"C++, Java, None","Django, PyTorch, TensorFlow",Freelance,3+,ml engineer,
Creativity,None,Full Stack,Diploma,Non-CS,Job Seeker,"C++, Java, None","Django, Flask",Freelance,None,backend developer,
Both,Intermediate,Frontend,Masters,CS,Trainee,"None, Python","PyTorch, React",Remote,1+,ml engineer,
Creativity,None,AI/ML,Diploma,Non-CS,Job Seeker,"JavaScript, Python",Node,Full-time Job,3+,data analyst,
Logic,None,Backend,Diploma,CS,Pursuing Degree,R,"React, Scikit-learn",Remote,1+,ml engineer,
Both,Advanced,Cybersecurity,Diploma,CS,Job Seeker,SQL,"Node, None, TensorFlow",Full-time Job,None,ml engineer,
Logic,None,Data Science,Masters,Non-CS,Trainee,"C++, Python, R, SQL","PyTorch, TensorFlow",Freelance,None,ml engineer,
Logic,None,Backend,Bachelors,CS,Pursuing Degree,"C++, None, Python, SQL","Node, TensorFlow",Freelance,1+,ml engineer,
Both,None,Frontend,Bachelors,CS,Trainee,"C, JavaScript, R, SQL","Flask, None, TensorFlow",Remote,1+,ml engineer,
Both,None,Cybersecurity,Diploma,Non-CS,Trainee,"C++, Python","Node, None, PyTorch",Internship,None,ml engineer,
Creativity,Advanced,Cybersecurity,Bachelors,CS,Trainee,"C++, Java, JavaScript, Python","Django, None, React",Full-time Job,3+,data analyst,
Both,Advanced,DevOps,Bachelors,Non-CS,Working Professional,"C, C++",TensorFlow,Remote,3+,ml engineer,
Logic,Advanced,Full Stack,Masters,CS,Intern,SQL,Flask,Freelance,None,backend developer,
Both,Beginner,Backend,Masters,CS,Trainee,"C++, Python, R","Django, Flask, TensorFlow",Full-time Job,3+,ml engineer,
Creativity,Intermediate,DevOps,Masters,Non-CS,Pursuing Degree,"C++, JavaScript",Flask,Full-time Job,3+,frontend developer,
Creativity,None,AI/ML,Masters,Non-CS,Pursuing Degree,"C, Java, None, R",React,Full-time Job,1+,frontend developer,
Both,None,AI/ML,Bachelors,Non-CS,Trainee,"C++, Java, None",PyTorch,Freelance,3+,ml engineer,
Both,None,Data Science,Masters,Non-CS,Working Professional,"C, JavaScript, None, Python","Node, Scikit-learn",Freelance,None,ml engineer,
Creativity,Advanced,DevOps,Masters,CS,Working Professional,"Java, JavaScript, None, R","None, Scikit-learn",Remote,1+,ml engineer,
Both,Intermediate,Full Stack,Masters,Non-CS,Working Professional,"C, None, SQL",React,Freelance,None,frontend developer,
Logic,Advanced,Frontend,Masters,CS,Trainee,"C++, Java, Python, SQL",React,Remote,None,data analyst,
Creativity,Beginner,AI/ML,Bachelors,Non-CS,Pursuing Degree,C++,PyTorch,Freelance,None,ml engineer,
Logic,None,Frontend,Bachelors,CS,Working Professional,"None, SQL","Flask, Node, TensorFlow",Onsite,None,ml engineer,
Logic,Beginner,Data Science,Diploma,Non-CS,Trainee,"C, JavaScript, None","Django, Flask, Node",Onsite,1+,frontend developer,
Creativity,Intermediate,Full Stack,Diploma,Non-CS,Job Seeker,"C, Java, Python, SQL","Django, Node, None",Internship,3+,data analyst,
Creativity,None,Full Stack,Masters,Non-CS,Working Professional,"C, Python","Flask, Node, React",Freelance,3+,data analyst,
Creativity,Beginner,DevOps,Diploma,CS,Pursuing Degree,"C++, Python, R","Flask, React, Scikit-learn",Freelance,1+,ml engineer,
Creativity,Advanced,Cybersecurity,Bachelors,Non-CS,Working Professional,"C++, JavaScript","Node, TensorFlow",Remote,3+,ml engineer,
Creativity,Beginner,Full Stack,Masters,Non-CS,Job Seeker,SQL,"Django, PyTorch",Full-time Job,None,ml engineer,
Both,Intermediate,DevOps,Diploma,CS,Trainee,"C++, Java, None","React, Scikit-learn",Onsite,None,ml engineer,
Both,None,Full Stack,Diploma,CS,Working Professional,"C++, Java",Node,Remote,None,backend developer,
Creativity,None,Cybersecurity,Diploma,CS,Job Seeker,"C, None, R, SQL","React, TensorFlow",Full-time Job,1+,ml engineer,
Creativity,Beginner,AI/ML,Masters,Non-CS,Job Seeker,"JavaScript, None, Python, SQL","Flask, Node, React",Remote,1+,data analyst,
Both,Intermediate,DevOps,Bachelors,CS,Job Seeker,"C++, None, R, SQL","PyTorch, React, Scikit-learn",Remote,None,ml engineer,
Creativity,Beginner,DevOps,Diploma,CS,Pursuing Degree,"C++, Java, JavaScript, R","None, TensorFlow",Remote,None,ml engineer,
Both,Advanced,AI/ML,Bachelors,Non-CS,Job Seeker,"C++, Java, R","Django, PyTorch, Scikit-learn",Freelance,None,ml engineer,
Creativity,None,Full Stack,Masters,Non-CS,Pursuing Degree,"C++, None, Python, R","Node, PyTorch",Remote,1+,ml engineer,
Creativity,Beginner,Full Stack,Bachelors,CS,Working Professional,"C, C++, None, R","None, React, Scikit-learn",Full-time Job,None,ml engineer,
Both,Beginner,AI/ML,Bachelors,CS,Working Professional,"Java, JavaScript, None",Flask,Freelance,None,frontend developer,
Creativity,Advanced,Full Stack,Masters,Non-CS,Trainee,JavaScript,"None, React",Remote,3+,frontend developer,
Logic,Intermediate,Cybersecurity,Diploma,Non-CS,Job Seeker,"C++, R, SQL","Flask, TensorFlow",Freelance,None,ml engineer,
Creativity,Beginner,DevOps,Bachelors,Non-CS,Intern,"C++, Python",Flask,Freelance,1+,backend developer,
Logic,None,DevOps,Bachelors,CS,Pursuing Degree,"C++, JavaScript, Python, R","Node, TensorFlow",Full-time Job,3+,ml engineer,
Creativity,Advanced,Backend,Bachelors,CS,Job Seeker,"C, JavaScript",Scikit-learn,Internship,1+,ml engineer,
Both,None,Data Science,Masters,CS,Trainee,"C++, Python, SQL",Node,Freelance,1+,data analyst,
Both,Beginner,Frontend,Diploma,Non-CS,Working Professional,"C++, SQL",None,Full-time Job,None,intern,
Creativity,Beginner,Full Stack,Diploma,Non-CS,Job Seeker,Python,"Flask, Node",Freelance,None,backend developer,
Logic,Advanced,Frontend,Diploma,Non-CS,Job Seeker,SQL,"Flask, React",Onsite,1+,frontend developer,
Creativity,Intermediate,Data Science,Masters,CS,Intern,"None, SQL","Django, Scikit-learn, TensorFlow",Onsite,3+,ml engineer,
Logic,Beginner,Full Stack,Bachelors,Non-CS,Pursuing Degree,"C, C++, R","Node, None, PyTorch",Remote,None,ml engineer,
Both,Advanced,Backend,Masters,CS,Intern,Java,Node,Full-time Job,1+,backend developer,
Creativity,Beginner,Data Science,Masters,Non-CS,Intern,Java,"Django, None, Scikit-learn",Onsite,None,ml engineer,
Both,Beginner,AI/ML,Diploma,Non-CS,Job Seeker,Python,"Flask, Node, React",Onsite,3+,data analyst,
Both,Beginner,Data Science,Bachelors,Non-CS,Intern,"C, C++, JavaScript, Python",Flask,Onsite,1+,data analyst,
Logic,Beginner,Backend,Masters,CS,Trainee,"C, Java",Node,Onsite,None,backend developer,
Creativity,Beginner,Backend,Bachelors,CS,Pursuing Degree,"Java, None","Flask, Node",Internship,None,backend developer,
Both,Beginner,DevOps,Bachelors,CS,Intern,"Java, SQL",PyTorch,Full-time Job,3+,ml engineer,
Creativity,Advanced,Backend,Diploma,CS,Pursuing Degree,"JavaScript, None, Python, SQL","Flask, Scikit-learn, TensorFlow",Full-time Job,1+,ml engineer,
Logic,None,DevOps,Bachelors,Non-CS,Working Professional,"C, Java, JavaScript, None","Flask, None",Onsite,3+,frontend developer,
Creativity,None,Frontend,Diploma,CS,Job Seeker,C++,"None, Scikit-learn",Onsite,None,ml engineer,
Creativity,None,AI/ML,Masters,Non-CS,Trainee,"C, C++, Python, SQL","Node, TensorFlow",Remote,1+,ml engineer,
Both,Advanced,AI/ML,Masters,CS,Pursuing Degree,JavaScript,"PyTorch, React",Remote,1+,ml engineer,
Creativity,Advanced,DevOps,Masters,CS,Job Seeker,JavaScript,"Django, None",Internship,3+,frontend developer,
Creativity,Beginner,Backend,Bachelors,CS,Pursuing Degree,None,"None, React, TensorFlow",Freelance,1+,ml engineer,
Both,Beginner,AI/ML,Bachelors,Non-CS,Trainee,"C++, JavaScript, Python, SQL",React,Remote,None,data analyst,
Creativity,Beginner,DevOps,Diploma,Non-CS,Trainee,"C, C++, JavaScript, SQL","Flask, Node, None",Remote,3+,frontend developer,
Both,Advanced,AI/ML,Masters,CS,Intern,C,"PyTorch, React, Scikit-learn",Internship,None,ml engineer,
Creativity,Beginner,Frontend,Bachelors,Non-CS,Intern,"JavaScript, None",TensorFlow,Internship,None,ml engineer,
Logic,Beginner,AI/ML,Diploma,Non-CS,Job Seeker,"C++, Java, R, SQL","Flask, Node, PyTorch",Freelance,None,ml engineer,
Creativity,Advanced,Frontend,Diploma,CS,Intern,"Python, SQL","Flask, Scikit-learn, TensorFlow",Freelance,3+,ml engineer,
Logic,None,Cybersecurity,Masters,CS,Trainee,"C, None, Python, SQL","Flask, None",Freelance,None,data analyst,
Logic,Advanced,DevOps,Masters,Non-CS,Job Seeker,None,Scikit-learn,Remote,None,ml engineer,
Both,None,Data Science,Masters,CS,Intern,"JavaScript, None, SQL","Django, PyTorch",Full-time Job,1+,ml engineer,
Both,Beginner,AI/ML,Diploma,CS,Intern,"None, R","None, PyTorch",Full-time Job,1+,ml engineer,
Logic,None,Data Science,Masters,Non-CS,Intern,"Java, Python",Node,Onsite,None,backend developer,
Logic,None,AI/ML,Diploma,Non-CS,Working Professional,"Java, None, SQL","None, TensorFlow",Remote,None,ml engineer,
Both,Advanced,Cybersecurity,Masters,CS,Pursuing Degree,Python,"Node, Scikit-learn, TensorFlow",Remote,3+,ml engineer,
Logic,None,DevOps,Masters,Non-CS,Working Professional,"C++, Java, R",TensorFlow,Internship,3+,ml engineer,
Logic,Intermediate,Cybersecurity,Bachelors,CS,Working Professional,"Java, None, R","Node, TensorFlow",Internship,3+,ml engineer,
Creativity,Beginner,Cybersecurity,Masters,CS,Job Seeker,"C++, SQL","Django, None",Freelance,1+,backend developer,
Logic,Intermediate,Frontend,Diploma,CS,Intern,"C, None","React, Scikit-learn",Freelance,None,ml engineer,
Both,Intermediate,AI/ML,Diploma,CS,Trainee,"C, None","None, PyTorch, React",Full-time Job,1+,ml engineer,
Both,Intermediate,Frontend,Bachelors,CS,Intern,"C++, Python","Flask, PyTorch, Scikit-learn",Full-time Job,1+,ml engineer,
Both,Intermediate,AI/ML,Bachelors,CS,Job Seeker,None,"Node, None, React",Freelance,3+,frontend developer,
Both,Advanced,Cybersecurity,Bachelors,CS,Trainee,"C, Java","Django, Flask, PyTorch",Remote,1+,ml engineer,
Both,Intermediate,Cybersecurity,Masters,CS,Pursuing Degree,"C, C++","Django, PyTorch, Scikit-learn",Internship,None,ml engineer,
Logic,None,Data Science,Diploma,CS,Intern,JavaScript,None,Onsite,3+,frontend developer,
Creativity,None,Data Science,Masters,CS,Job Seeker,"C, None, SQL","Django, Flask, React",Full-time Job,None,frontend developer,
Creativity,Advanced,Cybersecurity,Bachelors,CS,Job Seeker,"JavaScript, None","PyTorch, Scikit-learn",Remote,1+,ml engineer,
Logic,Intermediate,Data Science,Diploma,CS,Working Professional,"C, Python",PyTorch,Remote,3+,ml engineer,
Both,Advanced,AI/ML,Masters,Non-CS,Pursuing Degree,Java,"Node, Scikit-learn",Full-time Job,None,ml engineer,
Both,Intermediate,AI/ML,Masters,Non-CS,Intern,"C, None, R","None, React",Onsite,1+,frontend developer,
Logic,None,AI/ML,Masters,Non-CS,Intern,C++,TensorFlow,Remote,None,ml engineer,
Creativity,Beginner,Backend,Diploma,CS,Trainee,SQL,"Django, Node, None",Full-time Job,3+,backend developer,
Logic,Beginner,AI/ML,Masters,CS,Working Professional,"C, C++, JavaScript, SQL","Node, None, React",Full-time Job,None,frontend developer,
Logic,None,DevOps,Masters,Non-CS,Job Seeker,"C++, JavaScript, None, R",Flask,Onsite,3+,frontend developer,
Logic,Beginner,Cybersecurity,Masters,CS,Job Seeker,"JavaScript, Python, R, SQL",Flask,Full-time Job,None,data analyst,
Logic,None,Frontend,Diploma,Non-CS,Job Seeker,Python,"Flask, None",Onsite,3+,backend developer,
Both,None,Data Science,Diploma,Non-CS,Pursuing Degree,"C, JavaScript, None","Django, Scikit-learn, TensorFlow",Remote,None,ml engineer,
Logic,Advanced,Cybersecurity,Diploma,Non-CS,Working Professional,Python,Node,Full-time Job,3+,backend developer,
Logic,Intermediate,AI/ML,Bachelors,CS,Job Seeker,"C++, None, R","None, React, TensorFlow",Full-time Job,None,ml engineer,
Logic,None,Data Science,Bachelors,Non-CS,Job Seeker,JavaScript,None,Full-time Job,None,frontend developer,
Both,None,Full Stack,Masters,Non-CS,Job Seeker,C,"Flask, React, Scikit-learn",Full-time Job,3+,ml engineer,
Logic,Intermediate,AI/ML,Masters,CS,Pursuing Degree,"Java, Python","Django, Flask",Freelance,None,backend developer,
Logic,Advanced,Frontend,Bachelors,CS,Intern,C++,PyTorch,Freelance,None,ml engineer,
Logic,Advanced,Backend,Masters,CS,Intern,None,"Flask, React, Scikit-learn",Internship,3+,ml engineer,
Creativity,Intermediate,Backend,Bachelors,CS,Trainee,"C, C++, R",Scikit-learn,Full-time Job,None,ml engineer,
Logic,Beginner,Frontend,Masters,CS,Working Professional,R,React,Freelance,3+,frontend developer,
Creativity,None,Data Science,Diploma,CS,Intern,"C, JavaScript, R, SQL","Node, None, React",Onsite,3+,frontend developer,
Both,None,Frontend,Bachelors,Non-CS,Job Seeker,"None, SQL","PyTorch, React, Scikit-learn",Onsite,None,ml engineer,
Both,Beginner,Cybersecurity,Bachelors,CS,Job Seeker,"C, C++, Python, SQL","None, React, Scikit-learn",Full-time Job,3+,ml engineer,
Both,Beginner,Frontend,Masters,Non-CS,Trainee,"C++, Java, JavaScript, Python","Node, React, TensorFlow",Full-time Job,None,ml engineer,
Creativity,Intermediate,DevOps,Diploma,CS,Working Professional,JavaScript,None,Internship,1+,frontend developer,
Logic,Advanced,Full Stack,Diploma,CS,Job Seeker,"JavaScript, Python, R","PyTorch, React, TensorFlow",Onsite,None,ml engineer,
Creativity,Intermediate,AI/ML,Diploma,Non-CS,Job Seeker,"C, Java, None, Python","React, TensorFlow",Internship,None,ml engineer,
Logic,Intermediate,Frontend,Bachelors,CS,Intern,SQL,TensorFlow,Full-time Job,1+,ml engineer,
Both,None,Cybersecurity,Bachelors,Non-CS,Pursuing Degree,"C, C++, SQL","Django, PyTorch",Remote,1+,ml engineer,
Both,None,Frontend,Bachelors,CS,Trainee,SQL,React,Full-time Job,None,frontend developer,
Logic,Advanced,Data Science,Diploma,CS,Trainee,"C, JavaScript, R","Django, PyTorch, TensorFlow",Full-time Job,3+,ml engineer,
Creativity,None,AI/ML,Masters,CS,Working Professional,"C++, None, Python, R","Node, None, PyTorch",Freelance,3+,ml engineer,
Both,None,Cybersecurity,Masters,CS,Trainee,R,"Flask, Scikit-learn",Internship,None,ml engineer,
Both,None,Full Stack,Bachelors,CS,Pursuing Degree,"C++, Java, R, SQL","Scikit-learn, TensorFlow",Remote,3+,ml engineer,
Both,Beginner,Frontend,Masters,CS,Working Professional,"None, Python, R","Flask, Scikit-learn, TensorFlow",Full-time Job,1+,ml engineer,
Logic,Advanced,AI/ML,Bachelors,Non-CS,Trainee,"C++, Java, Python, SQL","Django, Node, React",Remote,1+,data analyst,
Creativity,Beginner,DevOps,Diploma,CS,Job Seeker,"JavaScript, None, Python","None, PyTorch, React",Remote,3+,ml engineer,
Logic,Beginner,Frontend,Bachelors,CS,Intern,"C, None, Python, R",Django,Remote,1+,data analyst,
Creativity,Advanced,AI/ML,Masters,CS,Pursuing Degree,R,Node,Onsite,3+,backend developer,
Creativity,Intermediate,Backend,Masters,CS,Trainee,"None, Python, SQL","Node, React, Scikit-learn",Onsite,1+,ml engineer,
Both,Intermediate,Backend,Masters,Non-CS,Trainee,"Java, None, R, SQL","Django, None, Scikit-learn",Freelance,3+,ml engineer,
Both,Advanced,Cybersecurity,Masters,Non-CS,Trainee,"C, Java, JavaScript, R",PyTorch,Remote,3+,ml engineer,
Logic,Intermediate,Data Science,Diploma,Non-CS,Intern,"C, None","None, Scikit-learn, TensorFlow",Internship,None,ml engineer,
Logic,Beginner,Data Science,Bachelors,Non-CS,Working Professional,"C, R",PyTorch,Full-time Job,1+,ml engineer,
Logic,Beginner,DevOps,Diploma,Non-CS,Job Seeker,"Python, R","Node, React, Scikit-learn",Freelance,1+,ml engineer,
Creativity,Intermediate,Data Science,Masters,CS,Intern,"C++, Python, R","Django, PyTorch, React",Full-time Job,3+,ml engineer,
Logic,Intermediate,Frontend,Diploma,CS,Working Professional,Java,Flask,Remote,1+,backend developer,
Creativity,None,Data Science,Bachelors,Non-CS,Intern,"C++, Java, JavaScript","None, React",Full-time Job,1+,frontend developer,
Both,None,Backend,Masters,CS,Working Professional,"Java, None, Python, SQL","None, Scikit-learn",Remote,1+,ml engineer,
Logic,Advanced,Data Science,Bachelors,Non-CS,Working Professional,None,Scikit-learn,Full-time Job,3+,ml engineer,
Creativity,Intermediate,Full Stack,Bachelors,Non-CS,Job Seeker,"C++, Java, JavaScript, SQL",Flask,Internship,None,frontend developer,
Logic,Intermediate,AI/ML,Bachelors,Non-CS,Job Seeker,"Java, Python, SQL","Node, PyTorch",Internship,3+,ml engineer,
Logic,Beginner,Cybersecurity,Masters,CS,Job Seeker,"C++, None","PyTorch, Scikit-learn",Remote,None,ml engineer,
Creativity,Intermediate,Cybersecurity,Diploma,CS,Job Seeker,"C, C++",React,Freelance,None,frontend developer,
Logic,Intermediate,Full Stack,Bachelors,Non-CS,Working Professional,"C, R, SQL","Django, Flask, PyTorch",Onsite,3+,ml engineer,
Both,None,Frontend,Diploma,Non-CS,Working Professional,"JavaScript, None","Flask, PyTorch, Scikit-learn",Onsite,1+,ml engineer,
Both,None,Data Science,Masters,Non-CS,Job Seeker,"C, Python, SQL","Flask, Node, PyTorch",Internship,None,ml engineer,
Creativity,None,AI/ML,Masters,Non-CS,Trainee,"C++, Java","Django, Flask, PyTorch",Internship,3+,ml engineer,
Logic,Advanced,DevOps,Bachelors,CS,Trainee,"Java, JavaScript, Python, R","Node, None, TensorFlow",Onsite,1+,ml engineer,
Logic,Intermediate,Full Stack,Masters,Non-CS,Pursuing Degree,"C++, Java, JavaScript, Python","Django, Node, None",Remote,1+,data analyst,
Logic,Beginner,Full Stack,Diploma,CS,Intern,"C, JavaScript, None","Django, Flask, React",Freelance,3+,frontend developer,
Creativity,Beginner,Full Stack,Diploma,CS,Pursuing Degree,"JavaScript, None","Flask, Scikit-learn",Remote,3+,ml engineer,
Creativity,Beginner,AI/ML,Diploma,CS,Pursuing Degree,Python,"Django, PyTorch, Scikit-learn",Internship,None,ml engineer,
Logic,Intermediate,Cybersecurity,Diploma,Non-CS,Working Professional,None,"Flask, None, TensorFlow",Internship,1+,ml engineer,
Both,None,Cybersecurity,Diploma,CS,Intern,"C, C++, Java","Flask, None, PyTorch",Internship,3+,ml engineer,
Both,Beginner,Cybersecurity,Bachelors,CS,Trainee,JavaScript,"Node, None",Remote,3+,frontend developer,
Creativity,Advanced,AI/ML,Diploma,Non-CS,Working Professional,C,"Django, Flask, Scikit-learn",Onsite,None,ml engineer,
Logic,Intermediate,AI/ML,Masters,Non-CS,Working Professional,C++,None,Remote,1+,intern,
Creativity,None,AI/ML,Masters,Non-CS,Pursuing Degree,"C, C++, Java","Flask, None",Full-time Job,3+,backend developer,
Both,None,DevOps,Masters,Non-CS,Pursuing Degree,"C, C++, None, SQL","Flask, PyTorch",Onsite,3+,ml engineer,
Logic,Beginner,Frontend,Diploma,Non-CS,Working Professional,None,"Django, React",Freelance,1+,frontend developer,
Both,Advanced,DevOps,Masters,CS,Trainee,"C, None, SQL",None,Internship,3+,intern,
Creativity,Beginner,AI/ML,Diploma,Non-CS,Job Seeker,Python,React,Remote,3+,data analyst,
Creativity,Beginner,Cybersecurity,Masters,Non-CS,Working Professional,"C, JavaScript, None, Python","Django, Node, None",Full-time Job,3+,data analyst,
Both,Beginner,AI/ML,Diploma,Non-CS,Pursuing Degree,"C++, JavaScript, None, Python",Flask,Full-time Job,1+,data analyst,
Logic,None,AI/ML,Diploma,CS,Intern,"JavaScript, None, Python, R",React,Onsite,3+,data analyst,
Both,Intermediate,AI/ML,Bachelors,CS,Pursuing Degree,SQL,"Node, PyTorch, Scikit-learn",Remote,3+,ml engineer,
Creativity,Advanced,AI/ML,Diploma,Non-CS,Job Seeker,"None, SQL","Flask, Node",Full-time Job,3+,backend developer,
Both,None,Full Stack,Bachelors,CS,Working Professional,C,"Django, Flask, TensorFlow",Onsite,3+,ml engineer,
Logic,Beginner,Full Stack,Diploma,CS,Trainee,"C, Java, R, SQL",Scikit-learn,Remote,None,ml engineer,
Both,Beginner,Data Science,Bachelors,CS,Job Seeker,C++,"Node, None",Onsite,None,backend developer,
Creativity,Beginner,Data Science,Masters,CS,Working Professional,"Java, SQL","None, PyTorch",Internship,None,ml engineer,
Both,Intermediate,DevOps,Bachelors,CS,Trainee,"JavaScript, None, SQL",PyTorch,Internship,3+,ml engineer,
Creativity,Intermediate,Full Stack,Masters,CS,Intern,"JavaScript, None",PyTorch,Freelance,None,ml engineer,
Both,Intermediate,Backend,Masters,CS,Job Seeker,"None, R","Django, Node, React",Onsite,1+,frontend developer,
Logic,Intermediate,Full Stack,Diploma,CS,Trainee,"Python, R, SQL","Django, Scikit-learn",Onsite,1+,ml engineer,
Creativity,Beginner,Data Science,Diploma,CS,Intern,"C, Java, JavaScript, Python",TensorFlow,Remote,1+,ml engineer,
Creativity,Advanced,Full Stack,Bachelors,Non-CS,Trainee,"JavaScript, None, Python, SQL","Django, Flask",Full-time Job,3+,data analyst,
Creativity,None,Data Science,Masters,CS,Job Seeker,"C++, None, SQL","Node, Scikit-learn",Full-time Job,1+,ml engineer,
Logic,Beginner,Backend,Diploma,Non-CS,Intern,Python,"Flask, Node, PyTorch",Internship,None,ml engineer,
Creativity,Beginner,Cybersecurity,Masters,Non-CS,Trainee,"C, C++, Python, R",TensorFlow,Remote,1+,ml engineer,
Creativity,Advanced,Backend,Bachelors,Non-CS,Pursuing Degree,"Java, Python, R",Flask,Remote,1+,data analyst,
Both,Intermediate,AI/ML,Diploma,Non-CS,Trainee,JavaScript,Flask,Internship,3+,frontend developer,
Creativity,Intermediate,Frontend,Diploma,CS,Job Seeker,"JavaScript, None, R","Flask, None",Internship,None,frontend developer,
Both,Advanced,Data Science,Masters,CS,Pursuing Degree,SQL,"Django, None",Freelance,None,backend developer,
